Sl.No.,Grant Type,Dist. Name,Block name,DDO  Office,DDO Designation,DDO Name,Cluster code,DDO CODE,School code,"Name of the  PS/UPS/HS/CRC/MRC 
Grant Released",Grant Type,Schcat1,Enrol,Now proposed to release 100% amount,General component (2202-01-001-15-05-500-503),SC component (2202-01-789-15-05-500-503),ST component (2202-01-796-15-05-500-503)
1,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS AKKANNAPET,Gazetted Headmaster,"K.Sandhya Rani, M.A.B.Ed",36180700907,18050308005,36180700907,ZPHS AKKANNAPET,Composit School Grant,03_HS,80,25000,18000,4250,2750
2,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS AKKANNAPET,Gazetted Headmaster,"K.Sandhya Rani,M.A.B.Ed",36180700907,18050308005,36180700907,ZPHS AKKANNAPET,Sports Grant,03_HS,80,25000,18000,4250,2750
3,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS ANTHAKKAPETA,Gazetted Headmaster,"B.Chandrashekar, M.Sc.B.Ed",3618070001,18050308006,36180700801,MPPS ODDERA COLONY,Composit School Grant,01_PS,33,25000,18000,4250,2750
4,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS ANTHAKKAPETA,Gazetted Headmaster,"B.Chandrashekar, M.Sc.B.Ed",3618070001,18050308006,36180700802,MPUPS GUBBADI JANGAON ,Composit School Grant,02_UPS,31,25000,18000,4250,2750
5,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS ANTHAKKAPETA,Gazetted Headmaster,"B.Chandrashekar, M.Sc.B.Ed",3618070001,18050308006,36180700803,MPPS  JANAGOAN,Composit School Grant,01_PS,80,25000,18000,4250,2750
6,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS ANTHAKKAPETA,Gazetted Headmaster,"B.Chandrashekar, M.Sc.B.Ed",3618070001,18050308006,36180700901,MPPS GOLLAKUNTA,Composit School Grant,01_PS,22,10000,7200,1700,1100
7,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS ANTHAKKAPETA,Gazetted Headmaster,"B.Chandrashekar, M.Sc.B.Ed",3618070001,18050308006,36180700902,MPPS PANTHULTHANDA,Composit School Grant,01_PS,11,10000,7200,1700,1100
8,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS ANTHAKKAPETA,Gazetted Headmaster,"B.Chandrashekar, M.Sc.B.Ed",3618070001,18050308006,36180700906,MPPS AKKANNAPET,Composit School Grant,01_PS,86,25000,18000,4250,2750
9,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS ANTHAKKAPETA,Gazetted Headmaster,"B.Chandrashekar, M.Sc.B.Ed",3618070001,18050308006,36180701002,MPPS ANTHAKKAPETA,Composit School Grant,01_PS,100,25000,18000,4250,2750
10,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS ANTHAKKAPETA,Gazetted Headmaster,"B.Chandrashekar, M.Sc.B.Ed",3618070001,18050308006,36180701101,MPUPS CHOUTPALLI,Composit School Grant,02_UPS,60,25000,18000,4250,2750
11,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS ANTHAKKAPETA,Gazetted Headmaster,"B.Chandrashekar, M.Sc.B.Ed",36180701003,18050308006,36180701003,ZPHS ANTHAKKAPETA,Composit School Grant,03_HS,146,50000,36000,8500,5500
12,CRC Grant,SIDDIPET,AKKANNAPETA,ZPHS ANTHAKKAPETA,Gazetted Headmaster,"B.Chandrashekar, M.Sc.B.Ed",3618070001,18050308006,3618070001,ZPHS ANTHAKKAPETA,CRC Grant,05_CRC,,43000,30960,7310,4730
13,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS ANTHAKKAPETA,Gazetted Headmaster,"B.Chandrashekar, M.Sc.B.Ed",36180700802,18050308006,36180700802,MPUPS GUBBADI JANGAON ,Sports Grant,02_UPS,31,10000,7200,1700,1100
14,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS ANTHAKKAPETA,Gazetted Headmaster,"B.Chandrashekar, M.Sc.B.Ed",36180701101,18050308006,36180701101,MPUPS CHOUTPALLI,Sports Grant,02_UPS,60,10000,7200,1700,1100
15,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS ANTHAKKAPETA,Gazetted Headmaster,"B.Chandrashekar, M.Sc.B.Ed",36180700902,18050308006,36180700902,MPPS PANTHULTHANDA,Sports Grant,01_PS,11,5000,3600,850,550
16,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS ANTHAKKAPETA,Gazetted Headmaster,"B.Chandrashekar, M.Sc.B.Ed",36180700801,18050308006,36180700801,MPPS ODDERA COLONY,Sports Grant,01_PS,35,5000,3600,850,550
17,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS ANTHAKKAPETA,Gazetted Headmaster,"B.Chandrashekar, M.Sc.B.Ed",36180700901,18050308006,36180700901,MPPS GOLLAKUNTA,Sports Grant,01_PS,24,5000,3600,850,550
18,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS ANTHAKKAPETA,Gazetted Headmaster,"B.Chandrashekar, M.Sc.B.Ed",36180701002,18050308006,36180701002,MPPS ANTHAKKAPETA,Sports Grant,01_PS,100,5000,3600,850,550
19,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS ANTHAKKAPETA,Gazetted Headmaster,"B.Chandrashekar, M.Sc.B.Ed",36180700906,18050308006,36180700906,MPPS AKKANNAPET,Sports Grant,01_PS,86,5000,3600,850,550
20,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS ANTHAKKAPETA,Gazetted Headmaster,"B.Chandrashekar, M.Sc.B.Ed",36180700803,18050308006,36180700803,MPPS  JANAGOAN,Sports Grant,01_PS,77,5000,3600,850,550
21,Sports Grant,SIDDIPET,AKKANNAPETA,ZPHS ANTHAKKAPETA,Gazetted Headmaster,"B.Chandrashekar, M.Sc.B.Ed",36180701003,18050308006,36180701003,ZPHS ANTHAKKAPETA,Sports Grant,03_HS,146,25000,18000,4250,2750
22,Composit School Grant,SIDDIPET,AKKANNAPETA,ZPHS GOURAVELLI,Gazetted Headmaster,"A.Jyothi, M.A.B.Ed",36180700205,18050308007,36180700205,ZPHS GOURAVELLI,Composit School Grant,03_HS,160,50000,36000,8500,5500
